SUBINDICE,INDICADOR,DESCRIPCION,NOTAS,CATEGORIAS
Economía,Ejecución de Contratos,"Incluido en el Subíndice de ""Sistema de Derecho Confiable y Objetivo"" Mide el número de días promedio requerido para la ejecución de contratos de negocios. Ésta es una variable a nivel estatal.","Fuente: Doing Business en México, 2007, 2009, 2012.","Empresas, Doing Business, Índice de Competitividad Urbana, Sector Automotriz"
Economía,Empleados en el Sector Formal,"Incluido en el subíndice de ""Gobiernos Eficaces y Eficientes"". Mide el número de empleados en el sector formal como porcentaje de la población ocupada total. El INEGI define como sector formal a todas aquellas actividades económicas que se desarrollan en empresas constituidas en sociedad, corporaciones, instituciones públicas o privadas, y negocios no constituidos en sociedad pero que reportan ingresos ante la autoridad hacendaria.",,"Índice de Competitividad Urbana, Empleo"
Economía,Empresas,"Incluido en el subíndice de ""Innovación en los Sectores Económicos"". Mide el número de registros patronales en cada ciudad con respecto a la población económica activa (PEA).",,"Índice de Competitividad Urbana, Innovación"
Economía,Empresas Certificadas con ISO-9000 y 14000,"Incluido en el subíndice de ""Innovación en los Sectores Económicos"". Mide el número de empresas que cuentan con el certificado ISO-9000 e ISO-14000 (certificados de calidad) que emite la Organización Internacional de Estandarización (ISO por sus siglas en inglés). Esta variable es estatal.",,"Índice de Competitividad Urbana, Innovación"
Economía,Empresas Exportadoras,Empresas vigentes en uno o más programas de apoyo a exportadores de la Secretaría de Economía.,Datos obtenidos de [Secretaría de Economía](http://www.economia.gob.mx/comunidad-negocios/industria-y-comercio/instrumentos-de-comercio-exterior/directorios-y-discos-de-captura),Empresas
Economía,Flujo de Pasajeros del o Hacia el Extranjero,"Incluido en el subíndice de ""Aprovechamiento de las Relaciones Internacionales"". Mide el total de pasajeros en vuelos provenientes del extranjero que tienen como destino la ciudad correspondiente o que salen de ésta con destino al exterior como porcentaje del total de pasajeros aéreos al año.",Porcentaje del total de pasajeros aéreos.,"Índice de Competitividad Urbana, Movilidad"
Economía,Gasto en Nómina por Empleado,Mide la eficiencia en el gasto en nómina ejercido por el Ayuntamiento por cada empleado. Gasto en Nómina Semestral entre el Total de Empleados Municipales.,Sistema de Indicadores de Desempeño (SINDES) con metodología de la Asociación de Administración de ciudades y condados (ICMA) http://www.icmaml.org/sindes/,"Sistema de Indicadores de Desempeño (SINDES), Finanzas Públicas"
Economía,Grandes Empresas,Porcentaje del total de empresas que cuentan con más de 250 empleados.,"A nivel nacional, el 0.63% de las empresas son grandes.

Datos obtenidos de [SIEM](http://www.siem.gob.mx/siem/estadisticas/EstadoTamanoPublico.asp?p=1)",Empresas
Economía,Grandes Empresas (según CNN Expansión),Mide el número de empresas que se encuentran en el Top 500 de empresas de la revista CNN Expansión. La empresa se contabiliza si tiene su casa matriz en alguna ciudad de la muestra.,,"Índice de Competitividad Urbana, Innovación"
Economía,Horas laboradas,Horas promedio trabajadas a la semana,Datos tomados de INEGI (ENOE),Empleo
Economía,Índice de Competitividad Urbana,"El índice de Competitividad Urbana (ICU) ha sido dado a conocer por el Instituto Mexicano para la Competitividad (IMCO)en 2007, 2010 y 2012, con información proveniente de fuentes diversas verificables de años anteriores a su publicación.",,Competitividad
Economía,Índice de Especialización Local en Comercio,Producción bruta total del comercio al por mayor y al por menor entre la producción bruta total de todas las actividades económicas. Indicador incluido en el índice de competitividad 2012 del Centro de Investigación y Docencia Económicas (CIDE).,"El índice de especialización nacional en el comercio es de:

- 2008 = 9.76%
- 2003 = 13.17%
- 1998 = 13.82%

Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/)",Mercados
Economía,Índice de Especialización Local en Industria Manufacturera,Producción bruta total de la industria manufacturera entre la producción bruta total. Indicador incluido en el índice de competitividad 2012 del Centro de Investigación y Docencia Económicas (CIDE).,"El índice de especialización en manufactura a nivel nacional es de:

- 2008 = 44.34%
- 2003 = 43.26%
- 1998 = 48.52%

Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/)","Mercados, Sector Automotriz"
Economía,Índice de Especialización Local en la Construcción,Producción bruta total de la actividad económica de construcción entre la producción bruta total.,"El índice de especialización en manufactura a nivel nacional es de:

 - 2008 = 3.69%

Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/)",Mercados
Economía,Índice de Especialización Local en la Minería,Producción bruta total de la actividad económica de minería entre la producción bruta total.,"El índice de especialización en manufactura a nivel nacional es de: 

- 2008 = 11.81%

Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/)",Mercados
Economía,Índice de Especialización Local en Servicios,Producción bruta total de los servicios entre la producción bruta total de todas las actividades económicas. Indicador incluido en el índice de competitividad 2012 del Centro de Investigación y Docencia Económicas (CIDE).,"El índice de especialización nacional en el comercio es de:

- 2008 = 16.55%
- 2003 = 17.66%
- 1998 = 15.85%

Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/)",Mercados
Economía,Índice de Gini,Indicador de igualdad usado internacionalmente donde 0 representa la igualdad perfecta y 1 la total inequidad.,El índice de Ginni a nivel nacional es de: 0.472. Datos obtenidos de [CONEVAL](http://www.coneval.gob.mx/Paginas/principal.aspx),Bienestar
Economía,Inflación Anual,,,Macroeconomía
Economía,Inflación mensual,Inflación mensual interanual,Dato tomado de INEGI.,Macroeconomía
Economía,Inversión Extranjera Directa,Promedio de inversión entre 2008 y 2012.,"El promedio de IED nacional de 2008 a 2012 es de 20685.96 millones de dólares, por lo que la IED de La Laguna representa el 1.31% de la nacional.

Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/)
y [Secretaría de Economía](http://www.economia.gob.mx/comunidad-negocios/competitividad-normatividad/inversion-extranjera-directa/estadistica-oficial-de-ied-en-mexico)",Macroeconomía
Economía,Inversión Extranjera Directa (Neta),"Incluido en el subíndice de ""Aprovechamiento de las Relaciones Internacionales"". Mide el promedio móvil de tres años de la inversión extranjera directa neta que recibe cada ciudad. Este indicador se calcula a nivel municipal a partir de la cifra estatal, la cual se prorratea con el porcentaje que aporta cada municipio al PIB estatal.",Dólares per cápita (promedio móvil tres años).,"Índice de Competitividad Urbana, Empresas"
Economía,Inversión Per cápita,Gasto en obras públicas y acciones sociales entre población total. Indicador incluido en el índice de competitividad 2012 del Centro de Investigación y Docencia Económicas (CIDE).,"La inversión nacional per cápita es de:

- 2012 = $553.80 
- 2011 = $747.22 
- 2010 = $698.38 
- 2009 = $765.24 
- 2008 = $636.13 
- 2007 = $484.72 

Datos obtenidos de [INEGI. Estadística de finanzas públicas estatales y municipales](http://www.inegi.org.mx/sistemas/olap/Proyectos/bd/continuas/finanzaspublicas/FPMun.asp?s=est&c=11289&proy=efipem_fmun)","Macroeconomía, Finanzas Públicas"
Economía,Inversión total en créditos de vivienda(mdp),Millones de pesos invertidos en créditos para vivienda,Fuente: SNIIV,"Vivienda, Mercados, Bienestar"
Economía,Jornadas Laborales Muy Largas,"Mide los trabajadores que laboran más de 48 horas por semana, como un proxy de la baja productividad del trabajo. Existe evidencia que sustenta que entre más horas se trabajen, por encima de un umbral, la productividad decrece o al menos no aumenta. Sin embargo, los efectos psicológicos y sociales de jornadas muy largas son negativos.",,"Índice de Competitividad Urbana, Empleo"
Economía,Medianas Empresas,Porcentaje del total de empresas que emplean de 51 a 250 personas.,"A nivel nacional el 1.29% de las empresas son medianas.

Datos obtenidos de [SIEM](http://www.siem.gob.mx/siem/estadisticas/EstadoTamanoPublico.asp?p=1)",Empresas
Economía,Microempresas,Porcentaje del total de empresas que emplean de 0 a 10 personas.,"A nivel nacional, el 92.58% de las empresas con micro.

Datos obtenidos de [SIEM](http://www.siem.gob.mx/siem/estadisticas/EstadoTamanoPublico.asp?p=1)",Empresas
Economía,Monto de préstamos,Monto promedio pedido en préstamo en pesos,Datos tomados de CNBV,Bienestar
Economía,Mujeres que estudian,Porcentaje de mujeres en edad escolar (6 a 18 años) que asisten a la escuela,Dato tomado de IMCO,Educación
Economía,Nuevas Empresas,Número de nuevas empresas registradas en ventanilla universal en el periodo señalado.,,Empresas
Economía,Obtención de Crédito - Creación de Garantías,Días transcurridos en el proceso de obtención de un crédito.,,Empresas
Economía,Ocupación Hotelera,"Incluido en el subíndice de ""Aprovechamiento de las Relaciones Internacionales"". Mide el promedio anual de cuartos ocupados como porcentaje del total de cuartos disponibles. Este indicador sólo está disponible para los principales centros turísticos.",Porcentaje del total de cuartos de hotel.,"Índice de Competitividad Urbana, Competitividad, Sector Automotriz"
Economía,Oferta de Cuartos de Hotel de Cuatro y Cinco Estrellas,"Incluido en el subíndice de ""Aprovechamiento de las Relaciones Internacionales"". Mide el total de cuartos de hotel en las categorías de 4 y 5 estrellas como porcentaje de la oferta total de cuartos. Este indicador sólo está disponible para los principales centros turísticos.",Porcentaje del total de cuartos de hotel.,"Índice de Competitividad Urbana, Competitividad, Sector Automotriz"
Economía,Patentes,"Incluido en el subíndice ""Innovación de los sectores económicos"". Mide el número de patentes solicitadas por entidad de residencia del inventor. Esta variable es estatal.","Unidades: Por cada 100 mil de PEA. Fuente: CONACYT, 2008-2012.","Índice de Competitividad Urbana, Innovación"
Economía,PEA desocupada,Porcentaje de la PEA desocupada,Datos tomados de INEGI (ENOE),Empleo
Economía,PEA Ocupada,Porcentaje de la PEA Ocupada,Datos tomados de INEGI (ENOE),Empleo
Economía,Pequeñas Empresas,Porcentaje del total de empresas que emplean entre 11 y 50 empleados.,"A nivel nacional el 5.5% de las empresas son pequeñas.

Datos obtenidos de [SIEM](http://www.siem.gob.mx/siem/estadisticas/EstadoTamanoPublico.asp?p=1)",Empresas
Economía,Permiso de Construcción,Número de días necesarios para conseguir un permiso de construcción.,,"Empresas, Doing Business"
Economía,Personal Ocupado en el Comercio,Personal ocupado en comercio al por mayor y al por menor entre el personal ocupado total.,Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/),"Empleo, Mercados"
Economía,Personal Ocupado en la Industria Manufacturera,Personal ocupado en la Industria manufacturera entre el personal ocupado total.,Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/),"Empleo, Mercados"
Economía,Personal Ocupado en los Servicios,Personal ocupado en las actividades de servicios entre personal ocupado total.,Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/),"Empleo, Mercados"
Economía,Personas que ganan 1 o 2 salarios mínimos,Porcentaje de personas que ganan de 1 hasta 2 salarios mínimos,Datos tomados de INEGI (ENOE),Empleo
Economía,Población con discapacidad del Centro Histórico,Población con discapacidad del Centro Histórico,Datos tomados de INEGI,Población
Economía,Población Económicamente Activa (PEA),"Población de 15 o más años de edad que durante el periodo de referencia realizó una actividad económica (población ocupada) o buscó activamente hacerlo (población desocupada en las últimas cuatro semanas), siempre y cuando haya estado dispuesta a trabajar en la semana de referencia.",Datos tomados de INEGI (ENOE),Población
Economía,Población Ocupada Sin Ingresos,"Incluido en el subíndice de ""Mercado Laboral"". Mide la población que actualmente está empleada, pero que no recibe remuneración por su trabajo. Una parte importante de este indicador son trabajadores familiares sin pago. Algunos de estos casos podrían corresponder a situaciones cercanas a la esclavitud moderna o situaciones especiales en las que los trabajadores no cobran por los servicios que desempeñan.",Porcentaje de la población ocupada,"Índice de Competitividad Urbana, Empleo"
Economía,Posgrados de Calidad,Programas aceptados por CONACYT como posgrados de calidad,Datos obtenidos de [CONACYT](http://svrtmp.main.conacyt.mx/ConsultasPNPC/listar_padron.php),"Educación, Innovación"
Economía,Posgrados de Calidad (por cada 100mil de PEA),"Incluido en el subíndice de ""Innovación en los Sectores Económicos"". Mide el número de posgrados registrados en el Programa Nacional de Posgrados de Calidad de CONACYT. Esta variable es estatal.",,"Índice de Competitividad Urbana, Educación, Innovación"
Economía,Precio medio de la vivienda,Precio medio de la vivienda,"Vivienda, Mercados, Bienestar","Vivienda, Mercados, Bienestar"
Economía,Producción Bruta Total Per Cápita,"Producción bruta total (de los sectores industria, comercio y servicios) entre población total. Indicador incluido en el índice de competitividad 2012 del Centro de Investigación y Docencia Económicas (CIDE).","La producción bruta total per cápita a nivel nacional es de:

- 2008 = $103,094.93 
- 2003 = $60,324.54 
- 1998 = $37,765.57 

La producción bruta total per cápita en dólares a nivel nacional es de:

- 2008 = $7,453.09 
- 2003 = $5,368.29 
- 1998 = $3,816.13 

Calculados con el tipo de cambio Fix publicado por el Banxico al cierre del año correspondiente.

Datos obtenidos de [INEGI Censos económicos.](http://www3.inegi.org.mx/sistemas/saic/)","Macroeconomía, Finanzas Públicas"
Economía,Productividad Laboral,PIB sin petróleo / PEA.,Indicador tomado del Índice de Competitividad Urbana 2012 del Instituto Mexicano para la Competitividad. Ir a [base de datos](http://porciudad.comparadondevives.org/contacto),"Macroeconomía, Empleo"
Economía,Productividad Media Laboral,"Incluido en el subíndice de ""Mercado Laboral"". Mide la productividad promedio de los trabajadores, descontando el efecto de las actividades de extracción en el sector minero/petrolero y de refinación y petroquímica (contabilizadas en las actividades económicas 21, 324 y 32511 según el Sistema de Clasificación Industrial de América del Norte). Este indicador se calculó dividiendo el PIB de la ciudad descontado por uno menos el porcentaje que aporta el sector minero y las actividades de refinación y petroquímica, entre el número de trabajadores en la PEA.",Miles de pesos de 2012,"Índice de Competitividad Urbana, Empleo, Sector Automotriz"
Economía,Promedio de Horas para la Realización del Trámite de Licencia para Negocio,"Determina el número de horas requeridas para la realización del trámite de licencia para negocios. Número de Horas Empleadas para el Trámite de Licencias para Negocios, entre Número de Licencias para Negocios Otorgadas.",Sistema de Indicadores de Desempeño (SINDES) con metodología de la Asociación de Administración de ciudades y condados (ICMA) http://www.icmaml.org/sindes/,"Sistema de Indicadores de Desempeño (SINDES), Gobierno, Empresas, Sector Automotriz"
Economía,Promedio de Horas para la Realizacion del Trámite de Permiso de Construcción de una Adición Residencial o Comercial,"Determina el número de horas requeridas para realizar el trámite de permiso de construcción de una adición (residencial/comercial). Calculado por Número de Horas Empleadas para el Trámite de Permisos de Construcción de Una Adición, entre Número de Permisos de Construcción Una Adición Otorgados.",Sistema de Indicadores de Desempeño (SINDES) con metodología de la Asociación de Administración de ciudades y condados (ICMA) http://www.icmaml.org/sindes/,"Sistema de Indicadores de Desempeño (SINDES), Gobierno, Sector Automotriz"
Economía,Registro de una Propiedad,Días que toma el trámite para el registro de una propiedad.,,"Doing Business, Gobierno, Sector Automotriz"
Economía,Registro de una Propiedad (percentil promedio),"Incluido en el Mide el promedio de los percentiles en que se ubica la ciudad en cada uno de los factores que determinan la facilidad para registrar una propiedad: número de trámites, tiempo (días) y costo (% valor de la propiedad). Este indicador se calcula a nivel estatal.",,"Índice de Competitividad Urbana, Gobierno, Sector Automotriz"
Economía,Salario Promedio Mensual para Trabajadores de Tiempo Completo,"Mide el salario promedio que obtienen los trabajadores que laboran 35 horas o más en cada ciudad ponderado por la participación de la población de cada municipio que integra dicha ciudad y descontando la presencia de actividades petroleras en los municipios. La lógica del indicador es que mientras más alto el salario promedio, mayor es la productividad laboral de la ciudad.",Pesos de 2012.,"Índice de Competitividad Urbana, Empleo"
Economía,Sectores que Han Frenado el Crecimiento,Porcentaje de la producción en sectores con tasa promedio de crecimiento negativo a nivel nacional en los últimos cinco años (2008-2012).,"A nivel nacional, el porcentaje de producción en sectores con tasa promedio de crecimiento negativo es de 25.66%.


Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/) y [Centro de Estudios de las Finanzas Públicas](http://www.cefp.gob.mx/Pub_Macro_Estadisticas.htm)",Mercados
Economía,Sectores que Han Presentado Alto Crecimiento,"Incluido en el subíndice de ""Economía Estable"". Mide el PIB generado por los sectores que han tenido un crecimiento superior al promedio del crecimiento de todos los sectores a nivel nacional. Para 2012 estos sectores son: generación, transmisión y distribución de energía eléctrica; suministro de agua y de gas por ductos al consumidor final; comercio al por mayor; transportes, correos y almacenamiento; información en medios masivos y servicios financieros y de seguros.",Porcentaje del PIB de la ciudad.,"Índice de Competitividad Urbana, Mercados"
Economía,Sitios UNESCO,"Incluido en el subíndice de ""Aprovechamiento de las Relaciones Internacionales"". Mide el número de sitios declarados como patrimonio de la humanidad por la UNESCO que se encuentran a no más de 50 km de la ciudad.",,"Índice de Competitividad Urbana, Cultura"
Economía,Tamaño del Mercado Hipotecario,"Incluido en el subíndice de ""Economía Estable"". Mide el número de créditos que son otorgados con respecto al número de habitantes.",,"Índice de Competitividad Urbana, Mercados"
Economía,Tasa de Condiciones Críticas de Ocupación,"Porcentaje de la población ocupada en alguna de las siguientes situaciones: 1) trabaja menos de 35 horas a la semana por razones de mercado, 2) trabaja más de 35 horas con ingresos inferiores al salario mínimo o 3) labora más de 48 horas con una percepción de hasta dos salarios mínimos.",,Empleo
Economía,Tasa de Desempleo Abierto,Número total de desempleados entre la población económicamente activa.,"Media nacional del indicador:

- 2010 = 3.72
- 2010 = 0.98%
- 1990 = 2.32%

Datos obtenidos de [INEGI. Censos de población y vivienda](http://www.inegi.org.mx/sistemas/consulta_resultados/iter2010.aspx?c=27329&s=est)

Media Nacional 2014:
1er. Trimestre: 4.80 %
2do. Trimestre: 4.90 %
3er. Trimestre: 5.20 %",Empleo
Economía,Tasa de Informalidad,Tasa de empleos informales.,,Empleo
Economía,Tasa de subocupación,Porcentaje de la población ocupada que tiene la necesidad y disponibilidad de ofertar más tiempo de trabajo de lo que su ocupación actual les permite.,Datos tomados de INEGI (ENOE),Empleo
Economía,Tasa de trabajo asalariado,"Representa a la parte de la población ocupada que percibe de la unidad económica para la que trabaja un sueldo, salario o jornal, por las actividades realizadas.",Datos tomados de INEGI (ENOE),Empleo
Economía,Tasa promedio de apreciación de la vivienda,Porcentaje de aumento de precios de viviendas. Trimestral,Fuente: Índice SHF,"Vivienda, Mercados, Bienestar"
Economía,Tierra Ejidal,"Forma parte de subíndice de ""Sistema de Derecho Confiable y Objetivo"". Mide a proporción de superficie de los municipios que conforman la ciudad que está bajo el régimen de propiedad social. Este indicador permite aproximar la certidumbre de los derechos de propiedad de la tierra en una ciudad.","Unidades: Porcentaje de la superficie total de las unidades económicas. Fuente: INEGI, 2008.",Índice de Competitividad Urbana
Economía,Total de Empresas Registradas en el SIEM,,"Las empresas de La Laguna representan el 1.34% del total de 666,684 empresas a nivel nacional para el año 2013.
Datos obtenidos de [SIEM](http://www.siem.gob.mx/siem/estadisticas/EstadoTamanoPublico.asp?p=1)",Empresas
Economía,Total de exportaciones,Monto total de exportaciones en millones de dólares.,Fuente: SAT.,Comercio.
Economía,Total de importaciones.,Monto total de importaciones en millones de dólares.,Fuente: SAT.,Comercio.
Economía,Trabajadores Asegurados,Total de trabajadores asegurados en el Instituto Mexicano del Seguro Social a nivel municipal,Datos obtenidos de [IMSS](http://datos.imss.gob.mx/dataset),Empleo
Economía,Trabajadores Asegurados (Región),Evolución del empleo medida en trabajadores asegurados por el IMSS.,"El dato incluye a los trabajadores asegurados de los municipios de la región abarcados por la subdelegación Torreón.

Datos obtenidos de [IMSS](http://201.144.108.20/imssdigital/conoce/estadisticas/pages/memoria2012.aspx)",Empleo
Economía,Unidades Económicas Dedicadas a la Industria Manufacturera,Unidades económicas dedicadas a la manufactura entre el total de unidades económicas del municipio.,Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/),"Empresas, Mercados"
Economía,Unidades Económicas Dedicadas al Comercio,Unidades económicas dedicadas al comercio entre el total de unidades económicas en el municipio/región.,Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/),"Empresas, Mercados"
Economía,Unidades Económicas Dedicadas a los Servicios,Unidades económicas dedicadas a los servicios entre el total de las unidades económicas del municipio/región.,Datos obtenidos de [INEGI. Censos económicos](http://www3.inegi.org.mx/sistemas/saic/),"Empresas, Mercados"
Gobierno,Capacidad Financiera,Ingresos propios entre gastos corrientes. Indicador incluido en el índice de competitividad 2012 del Centro de Investigación y Docencia Económicas (CIDE).,"El indicador de capacidad financiera a nivel nacional es de:

- 2013 = 41.15%
- 2012 = 39.41%
- 2011 = 39.94%
- 2010 = 41.63%
- 2009 = 40.87%
- 2008 = 43.36%
- 2007 = 44.48%

Datos obtenidos de [INEGI. Estadística de finanzas públicas estatales y municipales](http://www.inegi.org.mx/sistemas/olap/Proyectos/bd/continuas/finanzaspublicas/FPMun.asp?s=est&c=11289&proy=efipem_fmun)",Finanzas Públicas
Gobierno,Capacitación a Empleados de Base,"Expresa la relación de horas de capacitación promedio brindadas a los empleados municipales cuyo estatus es de base. Total de Horas de Capacitación a Empleados de Base, entre Total de Empleados de Base Semestral.",Sistema de Indicadores de Desempeño (SINDES) con metodología de la Asociación de Administración de ciudades y condados (ICMA) http://www.icmaml.org/sindes/,"Sistema de Indicadores de Desempeño (SINDES), Gobierno"
Gobierno,Capacitación a Empleados de Confianza,Expresa la relación de horas de capacitación promedio brindadas a los empleados municipales cuyo estatus es de confianza. Total de Horas de Capacitación a Empleados de Confianza entre el total de Empleados de Confianza.,Sistema de Indicadores de Desempeño (SINDES) con metodología de la Asociación de Administración de ciudades y condados (ICMA) http://www.icmaml.org/sindes/,"Sistema de Indicadores de Desempeño (SINDES), Gobierno"
Gobierno,Competencia Electoral,"Diferencia entre los dos candidatos con más votación entre el total de votos. Forma parte de subíndice de ""Sistema Político Estable y Funcional"". Mide la diferencia de votos entre el primero y segundo lugar como proporción del total de votos de las últimas elecciones federales. Este indicador asume que una mayor competencia electoral supone contextos más propicios para una mayor rendición de cuentas.","Unidades: Porcentaje de votos totales. Fuente: IFE, 2009 y 2012.","Participación Ciudadana, Gobierno, Índice de Competitividad Urbana"
Gobierno,Competencia Electoral Diferencia de Votos,Diferencia de votos entre primer y segundo lugar en la elección federal.,Cantidad de votos,Participación Ciudadana
